id;nev;vercsoport;email;veradasok_szama;legutolso_veradas
1;Kandisz Nóra;B+;kdn@gm.com;2;2017.11.12.
2;Remek Elek;0-;rek@ele.com;2;2015.02.18.
3;Pop Simon;B+;psm@vi.hu;1;2010.09.08.
4;Patta Nóra;A+;patta@n.hu;6;2018.11.24.
5;Para Zita;B+;przt@gm.com;2;2011.01.28.
6;Bac Ilus;0+;bcil@us.hu;3;2017.02.12.
7;Bármi Áron;AB+;brmi@a.com;4;2018.11.24.
8;Ria Dóra;AB-;rd@ria.hu;1;2000.01.04.
9;Bor Virág;0-;bvr@ag.hu;2;1997.09.09.
10;Szikla Szilárd;AB+;szs@rd.com;4;2018.11.24.
11;Teszt Elek;A-;teszt.elek@gmail.com;1;2020.12.13.
